n_steps,dt,err_vs_BS,err_vs_ref
80,0.0125,2.0167972869827245e-05,3.65745663994943e-05
160,0.00625,2.2147419034937872e-05,9.143586982673924e-06
320,0.003125,2.2642291170176607e-05,2.2856953183492124e-06
640,0.0015625,2.2766010004332878e-05,5.712113111400186e-07
