n_s,h,err_vs_BS
101,0.024000000000000004,0.001244982718033937
201,0.012000000000000002,0.0003105787250292032
401,0.006000000000000001,7.760359367457343e-05
801,0.0030000000000000005,1.9398305391965964e-05
