n_steps,dt,err_vs_BS,err_vs_ref
40,0.025,0.0019159262829742223,0.026202556135860533
80,0.0125,0.0009706368088688743,0.013102823208457792
160,0.00625,0.0004970362578840843,0.006539711164876394
320,0.003125,0.0002599999006169073,0.0032548835439794033
