K,moneyness,sigma_market,sigma_implied,abs_error
55.00000000000001,0.55,0.34900665784559126,0.3490066578455914,1.1102230246251565e-16
58.666666666666664,0.5866666666666667,0.32087448311174505,0.32087448311174493,1.1102230246251565e-16
62.33333333333334,0.6233333333333334,0.29710415585923583,0.29710415585923405,1.7763568394002505e-15
66.0,0.66,0.2770491972181977,0.2770491972181967,9.992007221626409e-16
69.66666666666667,0.6966666666666668,0.26018361509802324,0.26018361509812377,1.0053069487980792e-13
73.33333333333334,0.7333333333333334,0.2460748249750595,0.24607482497505834,1.1657341758564144e-15
77.0,0.77,0.23436362954123835,0.23436362954123957,1.2212453270876722e-15
80.66666666666666,0.8066666666666665,0.2247491830252175,0.22474918302514066,7.685518887967646e-14
84.33333333333333,0.8433333333333333,0.2169775388159393,0.21697753881593948,1.6653345369377348e-16
88.0,0.88,0.2108328146654499,0.21083281466545029,3.885780586188048e-16
91.66666666666666,0.9166666666666665,0.20613029798355623,0.20613029798355567,5.551115123125783e-16
95.33333333333334,0.9533333333333335,0.20271100819592552,0.2027110081959253,2.220446049250313e-16
99.0,0.99,0.20043736667190892,0.20043736667190867,2.498001805406602e-16
102.66666666666666,1.0266666666666666,0.1991897179182802,0.19918971791828965,9.46465128492946e-15
106.33333333333333,1.0633333333333332,0.198863511737879,0.19886351173787875,2.498001805406602e-16
110.00000000000001,1.1,0.19936700343884348,0.19936700343884453,1.0547118733938987e-15
113.66666666666667,1.1366666666666667,0.2006193636304988,0.20061936363049362,5.162537064506978e-15
117.33333333333333,1.1733333333333333,0.20254911447980828,0.202549114479808,2.7755575615628914e-16
121.0,1.21,0.20509282813971985,0.2050928281397195,3.608224830031759e-16
124.66666666666666,1.2466666666666666,0.20819403720650148,0.2081940372065016,1.1102230246251565e-16
128.33333333333331,1.2833333333333332,0.21180231778558162,0.21180231778558042,1.1934897514720433e-15
131.99999999999997,1.3199999999999996,0.21587251394437054,0.21587251394436335,7.188694084447889e-15
135.66666666666666,1.3566666666666665,0.22036407865154267,0.22036407865152186,2.0816681711721685e-14
139.33333333333331,1.393333333333333,0.22524051121313773,0.2252405112131372,5.273559366969494e-16
143.0,1.43,0.23046887505893068,0.2304688750589483,1.762479051592436e-14
146.66666666666666,1.4666666666666666,0.23601938276062737,0.2360193827606199,7.466249840604178e-15
150.33333333333331,1.5033333333333332,0.24186503756485253,0.24186503756485256,2.7755575615628914e-17
153.99999999999997,1.5399999999999998,0.24798132263997524,0.24798132263997538,1.3877787807814457e-16
157.66666666666666,1.5766666666666667,0.25434593077352535,0.25434593077352546,1.1102230246251565e-16
161.33333333333331,1.613333333333333,0.26093852849780574,0.2609385284978057,5.551115123125783e-17
165.0,1.65,0.2677405496278432,0.26774054962783483,8.382183835919932e-15
